pgs_id	metric	value	n_reports	lo	hi
PGS000071	AUROC	0.803	1	0.803	0.803
PGS000135	AUROC	0.74	1	0.74	0.74
PGS000136	AUROC	0.64	1	0.64	0.64
PGS000316	AUROC	0.879	1	0.879	0.879
PGS000327	R2	0.025	1	0.025	0.025
PGS000351	NA	NA	0	NA	NA
PGS000417	AUROC	0.556	1	0.556	0.556
PGS000419	AUROC	0.565	1	0.565	0.565
PGS000456	AUROC	0.63	1	0.63	0.63
PGS000457	AUROC	0.617	1	0.617	0.617
PGS000492	AUROC	0.579	1	0.579	0.579
PGS000500	AUROC	0.64	1	0.64	0.64
PGS000599	AUROC	0.637	1	0.637	0.637
PGS000600	AUROC	0.636	1	0.636	0.636
PGS000667	AUROC	0.627	4	0.611	0.642
PGS000728	NA	NA	0	NA	NA
PGS000740	AUROC	0.73	3	0.687	0.811
PGS000752	NA	NA	0	NA	NA
PGS000782	AUROC	0.804	1	0.804	0.804
PGS000809	AUROC	0.762	3	0.705	0.765
PGS000902	AUROC	0.651	1	0.651	0.651
PGS000903	AUROC	0.645	3	0.59	0.692
PGS001782	AUROC	0.659	1	0.659	0.659
PGS001783	AUROC	0.74	1	0.74	0.74
PGS001788	AUROC	0.715	1	0.715	0.715
PGS001789	AUROC	0.807	1	0.807	0.807
PGS001792	AUROC	0.777	1	0.777	0.777
PGS001815	NA	NA	0	NA	NA
PGS002023	NA	NA	0	NA	NA
PGS002067	NA	NA	0	NA	NA
PGS002235	NA	NA	0	NA	NA
PGS002252	AUROC	0.631	6	0.592	0.654
PGS002282	NA	NA	0	NA	NA
PGS002283	NA	NA	0	NA	NA
PGS002331	R2	0.114	1	0.114	0.114
PGS002344	R2	0.007	1	0.007	0.007
PGS002356	R2	0.076	1	0.076	0.076
PGS002697	R2	0.112	1	0.112	0.112
PGS002710	R2	0.001	1	0.001	0.001
PGS002724	AUROC	0.596	2	0.548	0.643
PGS002740	NA	NA	0	NA	NA
PGS002746	NA	NA	0	NA	NA
PGS002761	NA	NA	0	NA	NA
PGS002762	NA	NA	0	NA	NA
PGS002763	NA	NA	0	NA	NA
PGS002768	NA	NA	0	NA	NA
PGS002781	R2	0.13	1	0.13	0.13
PGS002784	R2	0.1	1	0.1	0.1
PGS002786	R2	0.0	50	0.0	0.003
PGS002790	R2	0.001	50	0.0	0.005
PGS002802	R2	0.4	2	0.399	0.401
PGS002867	R2	0.017	1	0.017	0.017
PGS003332	AUROC	0.672	2	0.664	0.68
PGS003333	R2	0.022	1	0.022	0.022
PGS003381	AUROC	0.761	1	0.761	0.761
PGS003420	AUROC	0.789	1	0.789	0.789
PGS003423	AUROC	0.775	1	0.775	0.775
PGS003442	NA	NA	0	NA	NA
PGS003459	AUROC	0.585	1	0.585	0.585
PGS003484	NA	NA	0	NA	NA
PGS003486	AUROC	0.567	1	0.567	0.567
PGS003724	R2	0.121	1	0.121	0.121
PGS003753	NA	NA	0	NA	NA
PGS003755	AUROC	0.631	2	0.582	0.681
PGS003756	NA	NA	0	NA	NA
PGS003765	NA	NA	0	NA	NA
PGS003766	NA	NA	0	NA	NA
PGS003873	R2	0.036	1	0.036	0.036
PGS003879	R2	0.142	1	0.142	0.142
PGS003881	R2	0.086	1	0.086	0.086
PGS003958	NA	NA	0	NA	NA
PGS003972	AUROC	0.66	3	0.64	0.69
PGS003973	C-index	0.882	1	0.882	0.882
PGS003978	NA	NA	0	NA	NA
PGS003981	AUROC	0.642	4	0.578	0.674
PGS003993	AUROC	0.715	4	0.581	0.744
PGS003994	AUROC	0.596	4	0.529	0.659
PGS004151	AUROC	0.659	4	0.59	0.695
PGS004163	AUROC	0.647	4	0.634	0.747
PGS004244	NA	NA	0	NA	NA
PGS004427	R2	0.223	1	0.223	0.223
PGS004456	NA	NA	0	NA	NA
PGS004526	NA	NA	0	NA	NA
PGS004590	AUROC	0.68	1	0.68	0.68
PGS004606	AUROC	0.71	1	0.71	0.71
PGS004693	AUROC	0.543	1	0.543	0.543
PGS004700	AUROC	0.748	2	0.744	0.752
PGS004798	R2	0.004	1	0.004	0.004
PGS004799	R2	0.019	1	0.019	0.019
PGS004882	C-index	0.59	6	0.55	0.6
PGS004884	C-index	0.595	6	0.54	0.62
PGS004889	C-index	0.754	2	0.727	0.78
PGS004923	AUROC	0.757	2	0.737	0.777
PGS004941	C-index	0.809	1	0.809	0.809
PGS004942	C-index	0.733	1	0.733	0.733
PGS004952	NA	NA	0	NA	NA
PGS005086	AUROC	0.607	1	0.607	0.607
PGS005091	AUROC	0.791	3	0.776	0.8
PGS005097	AUROC	0.72	1	0.72	0.72
PGS005102	AUROC	0.684	3	0.677	0.693
PGS005103	AUROC	0.729	3	0.729	0.75
PGS005142	NA	NA	0	NA	NA
PGS005148	NA	NA	0	NA	NA
PGS005149	NA	NA	0	NA	NA
PGS005150	NA	NA	0	NA	NA
PGS005155	NA	NA	0	NA	NA
PGS005251	NA	NA	0	NA	NA
PGS005258	AUROC	0.686	1	0.686	0.686
PGS005259	AUROC	0.695	1	0.695	0.695
PGS005267	AUROC	0.64	1	0.64	0.64
PGS005268	AUROC	0.639	1	0.639	0.639
PGS005281	NA	NA	0	NA	NA
PGS005333	AUROC	0.706	3	0.705	0.723
PGS012532	R2	0.11	3	0.052	0.143
PGS012533	R2	0.043	1	0.043	0.043
PGS012555	AUROC	0.799	4	0.752	0.857
PGS012582	NA	NA	0	NA	NA
PGS012583	NA	NA	0	NA	NA
